,Operación,Precio,Cantidad,Budget,Crypto,Ganancia/Pérdida Acumulada,Rendimiento
193,Venta,221.1103973388672,4.835822894258941,1069.2507216099852,0.0,69.25072160998513,0.06925072160998513
194,Compra,222.55870056152344,4.804353722915474,0.0,4.804353722915474,69.25072160998513,0.06925072160998513
195,Venta,221.30499267578125,4.804353722915474,1063.2274654616713,0.0,63.22746546167116,0.06322746546167116
196,Compra,221.1750030517578,4.807177351831492,0.0,4.807177351831492,63.22746546167116,0.06322746546167116
197,Venta,221.5399932861328,4.807177351831492,1064.9820382499986,0.0,64.98203824999848,0.06498203824999849
198,Compra,221.16000366210938,4.815436881060508,0.0,4.815436881060508,64.98203824999848,0.06498203824999849
199,Venta,221.6199951171875,4.815436881060508,1067.1970980677545,0.0,67.19709806775438,0.06719709806775438
200,Compra,224.7899932861328,4.747529382721813,0.0,4.747529382721813,67.19709806775438,0.06719709806775438
201,Venta,224.0050048828125,4.747529382721813,1063.4703425578955,0.0,63.47034255789538,0.06347034255789538
202,Compra,224.9949951171875,4.726639994831851,0.0,4.726639994831851,63.47034255789538,0.06347034255789538
203,Venta,224.5449981689453,4.726639994831851,1061.3433689847816,0.0,61.34336898478148,0.06134336898478148
204,Compra,225.07000732421875,4.715614406391746,0.0,4.715614406391746,61.34336898478148,0.06134336898478148
205,Venta,225.05999755859375,4.715614406391746,1061.2961667897957,0.0,61.29616678979562,0.06129616678979562
206,Compra,224.7100067138672,4.722959080950895,0.0,4.722959080950895,61.29616678979562,0.06129616678979562
207,Venta,224.38999938964844,4.722959080950895,1059.784785291906,0.0,59.784785291905905,0.0597847852919059
208,Compra,224.91000366210938,4.712039340340148,0.0,4.712039340340148,59.784785291905905,0.0597847852919059
209,Venta,226.33999633789062,4.712039340340148,1066.5229670365857,0.0,66.52296703658556,0.06652296703658556
210,Compra,226.5500030517578,4.707671386757505,0.0,4.707671386757505,66.52296703658556,0.06652296703658556
211,Venta,225.99000549316406,4.707671386757505,1063.8866825533398,0.0,63.88668255333971,0.06388668255333971
212,Compra,225.9600067138672,4.708296384061176,0.0,4.708296384061176,63.88668255333971,0.06388668255333971
213,Venta,226.10000610351562,4.708296384061176,1064.5458411733923,0.0,64.5458411733922,0.06454584117339221
214,Compra,224.16000366210938,4.74904453864147,0.0,4.74904453864147,64.5458411733922,0.06454584117339221
215,Venta,224.43020629882812,4.74904453864147,1065.829045529628,0.0,65.82904552962793,0.06582904552962793
216,Compra,224.4250030517578,4.749154644252459,0.0,4.749154644252459,65.82904552962793,0.06582904552962793
217,Venta,224.02499389648438,4.749154644252459,1063.9293401921177,0.0,63.92934019211759,0.06392934019211759
218,Compra,224.63999938964844,4.736152702469889,0.0,4.736152702469889,63.92934019211759,0.06392934019211759
219,Venta,224.92999267578125,4.736152702469889,1065.3027926779337,0.0,65.30279267793355,0.06530279267793355
220,Compra,225.89999389648438,4.715815942722399,0.0,4.715815942722399,65.30279267793355,0.06530279267793355
221,Venta,226.66000366210938,4.715815942722399,1068.8868588472926,0.0,68.8868588472925,0.0688868588472925
222,Compra,226.2100067138672,4.725197060797255,0.0,4.725197060797255,68.8868588472925,0.0688868588472925
223,Venta,226.89999389648438,4.725197060797255,1072.147184254583,0.0,72.14718425458284,0.07214718425458284
224,Compra,226.7100067138672,4.729156863409871,0.0,4.729156863409871,72.14718425458284,0.07214718425458284
225,Venta,227.01499938964844,4.729156863409871,1073.5895424605437,0.0,73.58954246054361,0.07358954246054361
226,Compra,226.48500061035156,4.740223589055968,0.0,4.740223589055968,73.58954246054361,0.07358954246054361
227,Venta,226.49000549316406,4.740223589055968,1073.613266724112,0.0,73.6132667241119,0.07361326672411189
228,Compra,227.22500610351562,4.724890473696421,0.0,4.724890473696421,73.6132667241119,0.07361326672411189
229,Venta,226.49000549316406,4.724890473696421,1070.140469342101,0.0,70.1404693421008,0.0701404693421008
230,Compra,226.24000549316406,4.7301115777882865,0.0,4.7301115777882865,70.1404693421008,0.0701404693421008
231,Venta,226.00010681152344,4.7301115777882865,1069.0057218105765,0.0,69.00572181057635,0.06900572181057635
232,Compra,226.4499969482422,4.720714224848987,0.0,4.720714224848987,69.00572181057635,0.06900572181057635
233,Venta,225.77000427246094,4.720714224848987,1065.7956707132228,0.0,65.79567071322265,0.06579567071322265
234,Compra,226.39999389648438,4.707578177765017,0.0,4.707578177765017,65.79567071322265,0.06579567071322265
235,Venta,226.77000427246094,4.707578177765017,1067.5375234847168,0.0,67.53752348471664,0.06753752348471664
236,Compra,226.17999267578125,4.71985833430892,0.0,4.71985833430892,67.53752348471664,0.06753752348471664
237,Venta,226.42999267578125,4.71985833430892,1068.717488068294,0.0,68.71748806829385,0.06871748806829385
238,Compra,225.64500427246094,4.73627808208793,0.0,4.73627808208793,68.71748806829385,0.06871748806829385
239,Venta,224.85989379882812,4.73627808208793,1064.9989865400094,0.0,64.99898654000924,0.06499898654000924
240,Compra,225.11500549316406,4.730910692545325,0.0,4.730910692545325,64.99898654000924,0.06499898654000924
241,Venta,225.96499633789062,4.730910692545325,1069.0202173158918,0.0,69.02021731589173,0.06902021731589172
242,Compra,227.05999755859375,4.708095784419388,0.0,4.708095784419388,69.02021731589173,0.06902021731589172
243,Venta,226.7736053466797,4.708095784419388,1067.6718553502888,0.0,67.67185535028864,0.06767185535028863
244,Compra,224.9499969482422,4.746263035495595,0.0,4.746263035495595,67.67185535028864,0.06767185535028863
245,Venta,225.07000732421875,4.746263035495595,1068.2414561616622,0.0,68.24145616166209,0.06824145616166209
246,Compra,226.4300994873047,4.717753772932276,0.0,4.717753772932276,68.24145616166209,0.06824145616166209
247,Venta,227.25999450683594,4.717753772932276,1072.1566965211935,0.0,72.15669652119334,0.07215669652119334
248,Compra,227.97000122070312,4.703060449972158,0.0,4.703060449972158,72.15669652119334,0.07215669652119334
249,Venta,228.6300048828125,4.703060449972158,1075.2607336412968,0.0,75.26073364129672,0.07526073364129672
250,Compra,227.94000244140625,4.717297192789585,0.0,4.717297192789585,75.26073364129672,0.07526073364129672
251,Venta,228.49000549316406,4.717297192789585,1077.8552614933797,0.0,77.85526149337954,0.07785526149337954
252,Compra,228.4832000732422,4.717437698473517,0.0,4.717437698473517,77.85526149337954,0.07785526149337954
253,Venta,228.14999389648438,4.717437698473517,1076.283382113778,0.0,76.28338211377798,0.07628338211377797
254,Compra,228.13999938964844,4.717644363080563,0.0,4.717644363080563,76.28338211377798,0.07628338211377797
255,Venta,229.63999938964844,4.717644363080563,1083.359848658399,0.0,83.35984865839885,0.08335984865839885
256,Compra,226.80999755859375,4.776508356420776,0.0,4.776508356420776,83.35984865839885,0.08335984865839885
257,Venta,227.02999877929688,4.776508356420776,1084.4106863275101,0.0,84.41068632751,0.08441068632751
258,Compra,227.47000122070312,4.767269004739482,0.0,4.767269004739482,84.41068632751,0.08441068632751
259,Venta,226.0800018310547,4.767269004739482,1077.7841853206323,0.0,77.78418532063222,0.07778418532063222
260,Compra,231.4199981689453,4.657264686925671,0.0,4.657264686925671,77.78418532063222,0.07778418532063222
261,Venta,232.4499969482422,4.657264686925671,1082.5811622630283,0.0,82.5811622630282,0.08258116226302821
